symbol,date,monthly_return
ARGT,2015-01-30,-0.016137633120004824
ARGT,2015-02-27,0.09786782977392394
ARGT,2015-03-31,0.04382430095766132
ARGT,2015-04-30,0.050572690841846235
ARGT,2015-05-29,-0.04586742854965897
ARGT,2015-06-30,-0.04616828488955438
ARGT,2015-07-31,-0.08582847510554747
ARGT,2015-08-31,-0.015283861605488447
ARGT,2015-09-30,-0.11585367278701453
ARGT,2015-10-30,0.2514105094100383
ARGT,2015-11-30,-0.05360705075322192
ARGT,2015-12-31,-0.03440789990245985
ARGT,2016-01-29,-0.051438136557274694
ARGT,2016-02-29,0.07930050310836756
ARGT,2016-03-31,0.043759816842581456
ARGT,2016-04-29,0.07349904208513625
ARGT,2016-05-31,0.002892798837383248
ARGT,2016-06-30,0.07211559167537818
ARGT,2016-07-29,0.013004510162521576
ARGT,2016-08-31,-0.004869312845903084
ARGT,2016-09-30,0.0622774594611446
ARGT,2016-10-31,-0.0033498366140211067
ARGT,2016-11-30,-0.028991724407078534
ARGT,2016-12-30,0.0015212348301940626
ARGT,2017-01-31,0.11361680720542666
ARGT,2017-02-28,0.023364271506708834
ARGT,2017-03-31,0.07496218448511294
ARGT,2017-04-28,0.015221160786029309
ARGT,2017-05-31,0.05683402027385953
ARGT,2017-06-30,-0.0336521015858855
ARGT,2017-07-31,0.013997849748320856
ARGT,2017-08-31,3.3667688056460143e-4
ARGT,2017-09-29,0.07034681643062668
ARGT,2017-10-31,0.006289272280582736
ARGT,2017-11-30,0.008437245294060203
ARGT,2017-12-29,0.09957486526085235
ARGT,2018-01-31,0.08071398590983558
ARGT,2018-02-28,-0.02987402945708617
ARGT,2018-03-29,-0.036197016293972206
ARGT,2018-04-30,-0.019899107378405723
ARGT,2018-05-31,-0.14755496458188444
ARGT,2018-06-29,-0.09526991253007588
ARGT,2018-07-31,0.09862806960542869
ARGT,2018-08-31,-0.11879858263971732
ARGT,2018-09-28,0.019532682398540224
ARGT,2018-10-31,-0.04883544676627394
ARGT,2018-11-30,0.015008003692398075
ARGT,2018-12-31,-0.07427680497810041
ARGT,2019-01-31,0.19088219853812083
ARGT,2019-02-28,0.008228904306673668
ARGT,2019-03-29,-0.02022728508509597
ARGT,2019-04-30,-0.056501159400902945
ARGT,2019-05-31,0.08023037639742703
