symbol,theme,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
GRID,Electric grid infrastructure,Infrastructure,0.17732837734864543,0.23720148800977303,0.747585433955369,-0.4056160263918406,0.23401908838065924,0.4,0.3,0.7,0.45999999999999996,4,3.8,4,3.5,2.3,4,3.8,4,3.5,3.46,Watchlist or tactical
URA,Uranium and nuclear fuel,Commodity theme,0.1498028135098527,0.37065763531479917,0.40415412833092,-0.6658094736088171,0.05468104004566198,0.4,0.3,0.2,0.31,4.2,4,4,3.5,1.55,4.2,4,4,3.5,3.3625,Watchlist or tactical
FAN,Wind energy,Energy transition,0.11245155545023328,0.2096821515808512,0.5362953146103766,-0.4628782517832746,0.030694900925347424,0.5,0.3,0.7,0.5,3.5,3,4,3.5,2.5,3.5,3,4,3.5,3.225,Watchlist or tactical
ITA,U.S. aerospace and defense benchmark,U.S. sector benchmark,0.1480515511850419,0.22413507619394585,0.6605461032655671,-0.5099666985703819,0.28074412904525486,0.4,0.3,0.4,0.37,3.7,3.5,4,3.5,1.85,3.7,3.5,4,3.5,3.2125000000000004,Watchlist or tactical
WOOD,Global timber and forestry,Commodity theme,0.06561541156908789,0.21270664967372033,0.30847842166541634,-0.5020169596034872,0.09271488731666075,1,0.3,0.4,0.61,2.8,3,4,3.5,3.05,2.8,3,4,3.5,3.1875,Watchlist or tactical
COPX,Copper miners,Commodity theme,0.20359462021404118,0.3700801646319544,0.550136537083841,-0.6540647102772479,0.11458729732508334,0.4,0.3,0.2,0.31,3.8,3.6,4,3.5,1.55,3.8,3.6,4,3.5,3.1825,Watchlist or tactical
XLI,U.S. industrials benchmark,U.S. sector benchmark,0.13068296620228523,0.1951173702739852,0.6697659261129815,-0.42334093025086084,0.22285969286180593,0.5,0.3,0.7,0.5,2.8,3,4,3.5,2.5,2.8,3,4,3.5,3.0500000000000003,Watchlist or tactical
XLF,U.S. financials benchmark,U.S. sector benchmark,0.12921566443699603,0.21572078797614988,0.5989949584797647,-0.4286252905598327,0.0733369224110942,0.5,0.3,0.7,0.5,2.8,3,4,3.5,2.5,2.8,3,4,3.5,3.0500000000000003,Watchlist or tactical
PAVE,U.S. infrastructure benchmark,U.S. theme benchmark,0.1704967629967752,0.24283821698195904,0.7021002094140798,-0.44084824329737593,0.06952959723079292,0.4,0.3,0.7,0.45999999999999996,2.8,3,4,3.5,2.3,2.8,3,4,3.5,3,Watchlist or tactical
TAN,Solar energy,Energy transition,0.10605010922855346,0.38013257812204876,0.2789819008738158,-0.785279981829567,0.059945646786829856,0.4,0.3,0.2,0.31,3.5,3,4,3.5,1.55,3.5,3,4,3.5,2.9875000000000003,Watchlist or tactical
PICK,Global metals and mining,Commodity theme,0.14517490000426836,0.2923451106095441,0.4965874055549499,-0.5399163796096187,0.08113536877072845,0.4,0.3,0.4,0.37,2.8,3,4,3.5,1.85,2.8,3,4,3.5,2.8875,Watchlist or tactical
XLE,U.S. energy benchmark,U.S. sector benchmark,0.12211815719111331,0.2904079490153873,0.4205055598689651,-0.6681302553721051,0.08443067042033398,0.4,0.3,0.2,0.31,2.8,3,4,3.5,1.55,2.8,3,4,3.5,2.8125,Watchlist or tactical
DFEN,U.S. aerospace and defense leveraged proxy,High-risk proxy,0.5018895604225323,0.9582637452501847,0.5237488769769729,-0.913625336189098,0.06847930218360004,0.4,0.3,0.2,0.31,2.8,3,4,3.5,1.55,2.8,3,4,3.5,2.8125,Watchlist or tactical
